beds,city,date,size,type,baths,price,neighborhood,avg_size,total_rooms
3,9,2025-02-19,Varies,18,3,0.0,73,,6
1,9,2025-02-19,Varies,3,1,8212000.0,123,,2
3,9,2025-02-19,Varies,18,3,19200000.0,56,,6
2,12,2025-02-18,1450 sqft,34,2,7800000.0,37,1450.0,4
0,12,2025-02-05,4068 sqft,39,0,11600000.0,203,4068.0,0
3,12,2025-01-19,1860 sqft,34,3,9300000.0,148,1860.0,6
3,12,2025-01-19,1472 sqft,34,2,7000000.0,213,1472.0,5
3,12,2025-01-19,1550 sqft,34,3,8500000.0,213,1550.0,6
2,12,2025-02-18,1100 sqft,34,2,5000000.0,149,1100.0,4
3,12,2025-01-19,1265 sqft,34,2,6578000.0,138,1265.0,5
4,12,2025-01-19,2628 sqft,34,4,18000000.0,139,2628.0,8
0,12,2025-02-19,133 sqft,39,0,1064000.0,106,133.0,0
2,12,2025-02-19,1080 sqft,35,2,5000000.0,187,1080.0,4
0,15,2025-02-19,1000 sqft,44,0,1099000.0,16,1000.0,0
3,15,2025-02-19,1489 sqft,16,3,6105000.0,184,1489.0,6
2,15,2025-02-19,various,9,0,9059000.0,188,,2
2,15,2025-02-19,various,9,0,3943000.0,62,,2
2,15,2025-02-19,various,14,0,20300000.0,41,,2
3,15,2025-02-19,various,15,0,23500000.0,41,,3
0,15,2025-02-19,various,39,0,750000.0,184,,0
3,15,2025-02-19,various,20,0,14900000.0,188,,3
4,15,2025-02-19,various,27,0,45900000.0,41,,4
2,15,2025-02-19,various,9,0,15800000.0,188,,2
2,3,2025-02-19,928-991 sqft,6,2,8445000.0,83,959.5,4
3,3,2025-02-19,1647 sqft,16,3,12500000.0,25,1647.0,6
3,3,2025-02-19,1208-1390 sqft,15,3,12000000.0,101,1299.0,6
0,3,2025-02-19,1200-3000 sqft,39,0,4080000.0,197,2100.0,0
3,3,2025-02-19,1101-3265 sqft,18,3,19200000.0,175,2183.0,6
3,3,2025-02-19,1654-3091 sqft,18,3,34000000.0,189,2372.5,6
0,3,2025-02-19,794-1510 sqft,39,0,1984000.0,126,1152.0,0
0,3,2025-02-19,630-4000 sqft,39,0,1260000.0,183,2315.0,0
1,3,2025-02-19,912-1462 sqft,3,1,8460000.0,31,1187.0,2
1,3,2025-02-19,891-1530 sqft,3,1,7090000.0,88,1210.5,2
3,16,2025-02-19,1459 sqft,34,4,73000000.0,147,1459.0,7
2,21,2025-02-19,686 sqft,34,2,5000000.0,30,686.0,4
2,16,2025-02-19,627 - 1476.92 sqft,33,2,29900000.0,214,,4
2,16,2025-02-19,694.81 - 1219.77 sqft,33,2,29100000.0,87,,4
2,16,2025-02-19,713.97 - 1727 sqft,33,2,29800000.0,97,,4
2,16,2025-02-19,839 - 2254 sqft,33,2,48000000.0,216,1546.5,4
3,16,2025-02-19,1133.34 - 2251 sqft,33,2,44700000.0,170,,5
1,16,2025-02-19,350.69 - 2747 sqft,33,1,14400000.0,214,,2
3,16,2025-02-19,1334.74 - 3088 sqft,33,2,95400000.0,133,,5
2,16,2025-02-19,713.8 - 1850 sqft,33,2,45700000.0,84,,4
3,5,2025-02-19,1350 sqft,36,3,25500000.0,122,1350.0,6
3,5,2025-02-19,1800 sqft,36,2,26500000.0,186,1800.0,5
2,5,2025-02-19,Not specified,37,2,8500000.0,167,,4
3,5,2025-02-19,Not specified,37,3,0.0,100,,6
2,5,2025-02-19,Not specified,33,2,21000000.0,104,,4
2,5,2025-02-19,Not specified,33,2,22500000.0,64,,4
4,5,2025-02-19,Not specified,47,4,90000000.0,22,,8
2,5,2025-02-19,Not specified,37,2,13000000.0,3,,4
2,5,2025-02-19,Not specified,33,2,11000000.0,51,,4
3,5,2025-02-19,Not specified,37,3,50000000.0,44,,6
3,10,2025-02-19,1705-2127 sqft,16,2,9378000.0,201,1916.0,5
3,10,2025-02-19,1741-2194 sqft,16,2,12200000.0,93,1967.5,5
3,10,2025-02-19,1741-5060 sqft,20,2,12200000.0,93,3400.5,5
2,10,2025-02-19,1069.26-1551.92 sqft,9,2,5132000.0,208,,4
